True,Pred,Stdv,Spcs
0.0,0.0,0.08097768,CA
0.6339901759318601,0.45873728,0.11225471,BT
0.2117660435033956,0.29008895,0.09431087,BU
0.0,0.0,0.068191096,CS
0.0,0.0,0.17156725,CD
0.0648399147459723,0.11109126,0.05840675,DP
0.1067371971521051,0.25405216,0.055491358,CH
0.0,0.0,0.08902821,BV
0.0191433278667381,3.796581e-10,0.08097768,CA
0.0,0.0,0.099819824,BT
0.4571509190075828,0.5815559,0.09887348,BU
0.0,0.0,0.068191096,CS
0.0,0.0,0.17156725,CD
0.0882253348661699,0.1347215,0.06070014,DP
0.1371470789261758,0.30439854,0.056186885,CH
0.0,0.0,0.08902821,BV
0.0363949549930706,0.003173774,0.08105124,CA
0.0,0.0,0.099819824,BT
0.0,0.0,0.0870839,BU
0.0,0.0,0.068191096,CS
0.0,0.0,0.17156725,CD
0.0490459876014358,0.13783233,0.061579894,DP
0.3422311404617775,0.34855545,0.055745468,CH
0.4346612566103826,0.424389,0.103236794,BV
0.0,0.0,0.08097768,CA
0.7511902908194625,0.82465035,0.11409576,BT
0.0995727628880415,0.060839564,0.09175271,BU
0.1499757877039886,0.25149518,0.09069381,CS
0.0,0.0,0.17156725,CD
0.0,0.0,0.055325612,DP
0.0,0.0,0.05172143,CH
0.161094477255174,0.1462562,0.1049769,BV
0.0776543371225044,4.9567098e-15,0.08097768,CA
0.8380836003230359,0.8663225,0.11033984,BT
0.1587390785737334,0.12600596,0.094601125,BU
0.1318562859807262,0.20917034,0.089159876,CS
0.0,0.0,0.17156725,CD
0.0,0.0,0.055325612,DP
0.0,0.0,0.05172143,CH
0.0,0.0,0.08902821,BV
0.0872970773466872,0.009769257,0.08121627,CA
0.7937678247416654,0.99209243,0.1434066,BT
0.0,0.0,0.0870839,BU
0.1537480560177169,0.22245456,0.09547787,CS
0.0,0.0,0.17156725,CD
0.0,0.0,0.055325612,DP
0.0,0.0,0.05172143,CH
0.1951870635605971,0.2550703,0.11188002,BV
0.0,0.0,0.08142692,CA
0.5641571044095368,0.57817566,0.11537566,BT
0.1650772994128221,0.36026722,0.09709082,BU
0.0262661693510769,0.03879124,0.07611339,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.2289993904932306,0.20778506,0.060503893,CH
0.0,0.0,0.08732107,BV
0.0590608962975826,2.0018566e-12,0.08142692,CA
0.4574309835406763,0.39177385,0.12744828,BT
0.0982327074862059,0.28037477,0.100129925,BU
0.0223644178985529,0.034993388,0.07544319,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.1943480669888727,0.26171285,0.058729846,CH
0.121229590454776,0.24165995,0.105878904,BV
0.0284409443303742,1.5929914e-17,0.08142692,CA
0.5574777936885481,0.5787918,0.114018835,BT
0.1695321566775706,0.3553501,0.096586086,BU
0.0186459845758129,0.03547011,0.07500999,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.1349031227276941,0.20687005,0.060028054,CH
0.0,0.0,0.08732107,BV
0.0556751956445031,0.030459292,0.08260709,CA
0.7452632632198698,1.3417685,0.21682417,BT
0.0,0.0,0.08741199,BU
0.0217383208428758,0.03561894,0.07465949,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.1479898892927514,0.12555969,0.06716173,CH
0.0,0.0,0.08732107,BV
0.0,0.0,0.08142692,CA
0.0,0.0,0.098186515,BT
0.1783429059459744,0.405405,0.11527251,BU
0.0182952427340506,0.038694143,0.081027426,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.257695827124943,0.32791963,0.059980616,CH
0.4079993395283651,0.45396534,0.11229624,BV
0.0403684796596857,0.003127249,0.081494585,CA
0.0,0.0,0.098186515,BT
0.0,0.0,0.08741199,BU
0.0177717431263171,0.048084885,0.08782817,CS
0.0,0.0,0.1783714,CD
0.0,0.0,0.056971587,DP
0.2300045416566911,0.36841497,0.06139128,CH
0.7240218872239725,0.6563681,0.106026664,BV
0.0,0.0,0.08308952,CA
0.6373917630227731,0.5780601,0.111536145,BT
0.181481186182036,0.24957646,0.09609668,BU
0.0165771067431536,0.03108031,0.074576385,CS
0.0,0.0,0.17848603,CD
0.0618493590154029,0.14079623,0.055318594,DP
0.1272005800366343,0.15429623,0.058206804,CH
0.0,0.0,0.087102674,BV
0.0281679869687717,2.2631834e-09,0.08308952,CA
0.5420046876967496,0.4547907,0.11557855,BT
0.1566968368406277,0.2173871,0.098880425,BU
0.0191291170326012,0.030139603,0.07442837,CS
0.0,0.0,0.17848603,CD
0.063880382940612,0.13795269,0.05532943,DP
0.1961327990937795,0.19259611,0.057170667,CH
0.0639882340935247,0.084630005,0.09201627,BV
0.0326643277669582,5.799432e-13,0.08308952,CA
0.5594465275768804,0.576606,0.11103319,BT
0.1782958250913585,0.24961734,0.09596421,BU
0.0170290837066694,0.028449176,0.07439331,CS
0.0,0.0,0.17848603,CD
0.0678244767290689,0.13754824,0.05535797,DP
0.1594064281290643,0.15623006,0.057996307,CH
0.0,0.0,0.087102674,BV
0.0,0.0,0.08308952,CA
0.0,0.0,0.1027588,BT
0.5274354033810065,0.635762,0.1000095,BU
0.0181221646016742,0.04382611,0.07712859,CS
0.0,0.0,0.17848603,CD
0.147277070594556,0.17215316,0.057848435,DP
0.2181653474227632,0.17118624,0.066086486,CH
0.0,0.0,0.087102674,BV
0.0,0.0,0.08308952,CA
0.0,0.0,0.1027588,BT
0.3968715858961131,0.433005,0.1120557,BU
