True,Pred,Stdv,Spcs
0.0104159064604629,0.058448013,0.03580391,S1
0.1167919334193004,0.019805005,0.061561007,S2
0.0020125112311587,0.00068795483,0.048475545,S3
0.2038107917590717,0.018577302,0.06430981,S4
0.1427427977409871,0.25173226,0.0700438,S5
0.0349072796575766,0.14534077,0.08215204,S6
0.0031298430680523,0.038882267,0.050312072,S7
0.0221986042288026,0.1251524,0.028923865,S8
0.1204978837177723,0.053573947,0.062136155,S9
0.3419924487168149,0.106265545,0.064838,S10
0.0184293610647976,0.12657437,0.0388971,S1
0.1408292151404924,0.010534901,0.061503526,S2
0.0013425594838443,0.002301967,0.04851426,S3
0.2811508328025793,0.0060548517,0.06344305,S4
0.1322996261270406,0.16780518,0.082679495,S5
0.0289055750787706,0.06594263,0.0871611,S6
0.0129736427419956,0.031454172,0.05785899,S7
0.0037138722553421,0.27210388,0.035610136,S8
0.0382277606666065,0.02433841,0.06057974,S9
0.3027942213051973,0.09547197,0.0655994,S10
0.021540806845429,0.09333389,0.034444872,S1
0.091140846883101,0.049310405,0.06439074,S2
0.0002293376079211,0.017557876,0.04907351,S3
0.294974685373552,0.05141374,0.06710572,S4
0.2703712687668231,0.21526286,0.07052831,S5
0.1969222521987953,0.060102977,0.06478708,S6
0.0022170986304207,0.0039452743,0.047489624,S7
0.0057365014865688,0.18508957,0.025742453,S8
0.0526193013443103,0.06154801,0.061892014,S9
0.0670380159944815,0.10191866,0.061509494,S10
0.0295556340158119,0.006561695,0.031799085,S1
0.115906730961311,0.2928916,0.06670814,S2
0.0003682340332038,0.019116137,0.04912574,S3
0.2078298759006182,0.3931419,0.068159916,S4
0.2397242746851864,0.17756957,0.06393049,S5
0.2080640725400672,0.037140362,0.059444804,S6
0.0,0.0,0.047375795,S7
0.0,0.0,0.020864155,S8
0.0517802485508588,0.038655512,0.058012184,S9
0.0891805630086496,0.14910898,0.060142983,S10
0.0364599477806788,0.064437866,0.03388354,S1
0.0,0.0,0.06050184,S2
0.0047745169712793,0.011055888,0.04887469,S3
0.4162510704960836,0.42509875,0.0748474,S4
0.0,0.0,0.060986135,S5
0.0672772845953002,0.070191234,0.06625387,S6
0.0251747258485639,0.0049230023,0.04754029,S7
0.0494813577023498,0.023827987,0.02257469,S8
0.0082468929503916,0.061899997,0.060741365,S9
0.2235342036553525,0.14640692,0.060304325,S10
0.0214163241203816,0.00059079396,0.031609964,S1
0.11897138229118,0.13873325,0.06673256,S2
0.0038558150092319,0.011853375,0.048890993,S3
0.3227720187498828,0.2672362,0.074496575,S4
0.1451488733389988,0.15631704,0.06676994,S5
0.0299570375459435,0.08878053,0.064358994,S6
0.0136393141659025,0.055850342,0.049822684,S7
0.0063682381992073,0.0017511396,0.020930719,S8
0.003711448690473,0.055874582,0.059863973,S9
0.0,0.0,0.05865574,S10
0.0,0.0,0.031603973,S1
0.2591249555772894,0.36590642,0.07095934,S2
0.000851811226217,0.00830817,0.04879678,S3
0.305086350946971,0.31973937,0.07142105,S4
0.0,0.0,0.060986135,S5
0.06848732169104,0.14429928,0.06885616,S6
0.028421909411587,0.00011118348,0.047376085,S7
0.0184896642360991,0.0012119542,0.020889612,S8
0.0061357011169306,0.103239566,0.06509969,S9
0.2262689524605322,0.14109151,0.060350683,S10
0.0146617149029838,0.04859689,0.026860243,S1
0.101606628985639,0.14958571,0.06545371,S2
0.0007603260045494,0.0003741761,0.043520603,S3
0.3845941571583354,0.24936225,0.07318885,S4
0.2773347944376212,0.17188616,0.07040903,S5
0.0565298542243237,0.041673042,0.06662341,S6
0.001875714372485,0.00034049008,0.039939135,S7
0.002736442932589,0.037491344,0.041054867,S8
0.0893259771502124,0.0020317512,0.058801662,S9
0.1970743898312605,0.21882568,0.06437446,S10
0.0092348611112464,0.025258278,0.025982663,S1
0.0996480351004617,0.059647053,0.06375906,S2
0.0,2.7989152e-08,0.04350073,S3
0.3449141648961202,0.27155218,0.0736806,S4
0.18683160157918,0.19754471,0.0627681,S5
0.0541464616970768,0.098664634,0.07098031,S6
0.0204503994328799,0.008783177,0.041045096,S7
0.0013154636251275,0.0011661159,0.037253655,S8
0.0668787519534136,7.584718e-05,0.05872589,S9
0.1672469272711603,0.11035638,0.06449015,S10
0.0120093194676006,0.02149716,0.024820663,S1
0.2328011153780475,0.22677305,0.06076648,S2
0.0002046321814712,0.0,0.04350073,S3
0.4063183154377605,0.38067904,0.0649119,S4
0.1794273003232013,0.17214924,0.06086603,S5
0.0055510419075743,0.046029624,0.06606143,S6
0.0514865765043816,7.22919e-11,0.039931633,S7
0.0,1.3559946e-05,0.03718194,S8
0.0205141034382887,0.013709508,0.059584722,S9
0.1546875953616737,0.17580266,0.059636444,S10
0.0108300319662064,0.012743053,0.02485629,S1
0.2575795442322182,0.2658741,0.06028925,S2
0.0013024903328237,8.650441e-08,0.04350073,S3
0.3220944734436849,0.3673651,0.06498685,S4
0.1495652404809322,0.1708074,0.060731612,S5
