True,Pred,Stdv,Spcs
0.0,0.0,0.03204194,CA
0.6339901759318601,0.7249281,0.09672672,BT
0.2117660435033956,0.24026534,0.0602271,BU
0.0,0.0,0.029403403,CS
0.0,0.0,0.09401025,CD
0.0648399147459723,0.12214447,0.057154275,DP
0.1067371971521051,0.1048787,0.040738586,CH
0.0,0.0,0.078018546,BV
0.0191433278667381,0.1171814,0.041655466,CA
0.0,0.0,0.08757031,BT
0.4571509190075828,0.29360384,0.082246244,BU
0.0,0.0,0.029403403,CS
0.0,0.0,0.09401025,CD
0.0882253348661699,0.17633685,0.06667914,DP
0.1371470789261758,0.1974803,0.048884064,CH
0.0,0.0,0.078018546,BV
0.0363949549930706,0.13165487,0.037664708,CA
0.0,0.0,0.08757031,BT
0.0,0.0,0.054548964,BU
0.0,0.0,0.029403403,CS
0.0,0.0,0.09401025,CD
0.0490459876014358,0.21108031,0.07105927,DP
0.3422311404617775,0.21878275,0.045770194,CH
0.4346612566103826,0.3201587,0.113486685,BV
0.0,0.0,0.03204194,CA
0.7511902908194625,0.87131333,0.111025386,BT
0.0995727628880415,0.10560718,0.06141977,BU
0.1499757877039886,0.13702181,0.031779908,CS
0.0,0.0,0.09401025,CD
0.0,0.0,0.054626144,DP
0.0,0.0,0.03955093,CH
0.161094477255174,0.12566523,0.090176605,BV
0.0776543371225044,9.7708605e-15,0.03204194,CA
0.8380836003230359,0.98461825,0.10263247,BT
0.1587390785737334,0.14234477,0.06416935,BU
0.1318562859807262,0.12119582,0.031439003,CS
0.0,0.0,0.09401025,CD
0.0,0.0,0.054626144,DP
0.0,0.0,0.03955093,CH
0.0,0.0,0.078018546,BV
0.0872970773466872,6.6845e-18,0.03204194,CA
0.7937678247416654,0.9476932,0.11112064,BT
0.0,0.0,0.054548964,BU
0.1537480560177169,0.12950711,0.0318446,CS
0.0,0.0,0.09401025,CD
0.0,0.0,0.054626144,DP
0.0,0.0,0.03955093,CH
0.1951870635605971,0.15838328,0.09488664,BV
0.0,0.0,0.022046361,CA
0.5641571044095368,0.73113567,0.10192474,BT
0.1650772994128221,0.25618,0.0649376,BU
0.0262661693510769,0.034924928,0.030127205,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.2289993904932306,0.13184428,0.041175045,CH
0.0,0.0,0.08112752,BV
0.0590608962975826,0.0572324,0.024541868,CA
0.4574309835406763,0.4655218,0.10343244,BT
0.0982327074862059,0.15591995,0.062299404,BU
0.0223644178985529,0.045163367,0.030336585,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.1943480669888727,0.16630748,0.04149292,CH
0.121229590454776,0.24175519,0.089191034,BV
0.0284409443303742,0.07004951,0.026266145,CA
0.5574777936885481,0.70836717,0.10207942,BT
0.1695321566775706,0.21824339,0.064989865,BU
0.0186459845758129,0.033345282,0.030084359,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.1349031227276941,0.13122508,0.041241,CH
0.0,0.0,0.08112752,BV
0.0556751956445031,0.0962594,0.032354463,CA
0.7452632632198698,0.91295654,0.1026996,BT
0.0,0.0,0.05627987,BU
0.0217383208428758,0.021433841,0.029781392,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.1479898892927514,0.12491562,0.04107723,CH
0.0,0.0,0.08112752,BV
0.0,0.0,0.022046361,CA
0.0,0.0,0.08883935,BT
0.1783429059459744,0.25648052,0.08079798,BU
0.0182952427340506,0.067966774,0.031839352,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.257695827124943,0.20991947,0.04238558,CH
0.4079993395283651,0.49172735,0.099641405,BV
0.0403684796596857,0.19029315,0.10344238,CA
0.0,0.0,0.08883935,BT
0.0,0.0,0.05627987,BU
0.0177717431263171,0.06635024,0.03284223,CS
0.0,0.0,0.11250323,CD
0.0,0.0,0.07442334,DP
0.2300045416566911,0.23115672,0.043696932,CH
0.7240218872239725,0.6666065,0.103158295,BV
0.0,0.0,0.030322326,CA
0.6373917630227731,0.56358093,0.1295904,BT
0.181481186182036,0.22496451,0.06667974,BU
0.0165771067431536,0.009442209,0.029018693,CS
0.0,0.0,0.099120654,CD
0.0618493590154029,0.10008379,0.06339704,DP
0.1272005800366343,0.15769733,0.036673605,CH
0.0,0.0,0.09971855,BV
0.0281679869687717,0.036056675,0.030940084,CA
0.5420046876967496,0.47178414,0.13237575,BT
0.1566968368406277,0.093755595,0.06423068,BU
0.0191291170326012,0.007658557,0.028851038,CS
0.0,0.0,0.099120654,CD
0.063880382940612,0.08496611,0.06267787,DP
0.1961327990937795,0.18249434,0.036359787,CH
0.0639882340935247,0.1564076,0.105618514,BV
0.0326643277669582,0.047005188,0.03155443,CA
0.5594465275768804,0.5580553,0.1294864,BT
0.1782958250913585,0.16823074,0.06545095,BU
0.0170290837066694,0.009552089,0.028973596,CS
0.0,0.0,0.099120654,CD
0.0678244767290689,0.09386669,0.06283965,DP
0.1594064281290643,0.15628695,0.03651514,CH
0.0,0.0,0.09971855,BV
0.0,0.0,0.030322326,CA
0.0,0.0,0.12188528,BT
0.5274354033810065,0.6143263,0.073479265,BU
0.0181221646016742,0.011329187,0.029855749,CS
0.0,0.0,0.099120654,CD
0.147277070594556,0.17950389,0.06690929,DP
0.2181653474227632,0.16994661,0.037721805,CH
0.0,0.0,0.09971855,BV
0.0,0.0,0.030322326,CA
0.0,0.0,0.12188528,BT
0.3968715858961131,0.24876559,0.081607066,BU
0.0247356407311785,0.0058813333,0.028901838,CS
0.0,0.0,0.099120654,CD
