Experiments,Time,OD,s1,s2,s3,s4,s5
Exp_0,0.0,0.2,0.0,0.0,0.0,0.1,0.1
Exp_0,80.0,0.2740754236258469,0.0,0.0,0.0,0.16466136084978086,0.10941406277606608
Exp_0,160.0,0.1233307301608429,0.0,0.0,0.0,0.07400107677916827,0.04932965338167463
Exp_1,0.0,0.2,0.0,0.0,0.1,0.0,0.1
Exp_1,80.0,0.2729006114437466,0.0,0.0,0.14390009806304432,0.0,0.1290005133807023
Exp_1,160.0,0.12033606560372645,0.0,0.0,0.06456792493267459,0.0,0.055768140671051854
Exp_2,0.0,0.2,0.0,0.0,0.1,0.09999999999999999,0.0
Exp_2,80.0,0.2768793860464356,0.0,0.0,0.10860895748547765,0.16827042856095795,0.0
Exp_2,160.0,0.12434230142774025,0.0,0.0,0.04757198994661171,0.07677031148112855,0.0
Exp_3,0.0,0.30000000000000004,0.0,0.0,0.1,0.1,0.1
Exp_3,80.0,0.32179572537866236,0.0,0.0,0.08927882563100814,0.13353545131005692,0.09898144843759729
Exp_3,160.0,0.1431336278463749,0.0,0.0,0.040894565423499216,0.060040766035755755,0.04219829638711993
Exp_4,0.0,0.2,0.0,0.1,0.0,0.0,0.1
Exp_4,80.0,0.717479921820628,0.0,0.08287332704506499,0.0,0.0,0.634606594775563
Exp_4,160.0,0.582605238994679,0.0,0.03934597823444888,0.0,0.0,0.5432592607602301
Exp_5,0.0,0.2,0.0,0.1,0.0,0.1,0.0
Exp_5,80.0,1.7831622876418418,0.0,0.08587410609000062,0.0,1.6972881815518412,0.0
Exp_5,160.0,1.562875961162298,0.0,0.04115411807253411,0.0,1.5217218430897639,0.0
Exp_6,0.0,0.30000000000000004,0.0,0.10000000000000002,0.0,0.1,0.1
Exp_6,80.0,1.6672889259529797,0.0,0.07746157354568063,0.0,1.371380092309371,0.21844726009792798
Exp_6,160.0,1.4199997643389266,0.0,0.033897366108816676,0.0,1.2548214395386308,0.1312809586914792
Exp_7,0.0,0.2,0.0,0.1,0.1,0.0,0.0
Exp_7,80.0,1.7967809607981722,0.0,0.09296408404589329,1.7038168767522788,0.0,0.0
Exp_7,160.0,1.6221238770917397,0.0,0.04341817238123055,1.578705704710509,0.0,0.0
Exp_8,0.0,0.3,0.0,0.10000000000000002,0.09999999999999999,0.0,0.09999999999999999
Exp_8,80.0,1.6338016995699711,0.0,0.0809660301212223,1.2187745730460915,0.0,0.3340610964026574
Exp_8,160.0,1.4287555010706914,0.0,0.03581409484907905,1.1680739492969388,0.0,0.2248674569246737
Exp_9,0.0,0.30000000000000004,0.0,0.1,0.1,0.1,0.0
Exp_9,80.0,1.7520192204578975,0.0,0.08181591516018195,0.39550839378673075,1.274694911510985,0.0
Exp_9,160.0,1.497928640626816,0.0,0.03763549972397032,0.2826659165087435,1.1776272243941022,0.0
Exp_10,0.0,0.4,0.0,0.1,0.1,0.1,0.1
Exp_10,80.0,1.6637715680921512,0.0,0.0745701360678372,0.3475726620260363,1.0459439179463594,0.19568485205191843
Exp_10,160.0,1.3960292447926366,0.0,0.03541218075045838,0.2544915647956487,0.9856140686277194,0.1205114306188103
Exp_11,0.0,0.2,0.1,0.0,0.0,0.0,0.1
Exp_11,80.0,1.0480847734306862,0.13871986982726206,0.0,0.0,0.0,0.9093649036034241
Exp_11,160.0,0.8891323802857254,0.061301720210367956,0.0,0.0,0.0,0.8278306600753574
Exp_12,0.0,0.2,0.1,0.0,0.0,0.09999999999999999,0.0
Exp_12,80.0,1.1052467201255223,0.13845701324218657,0.0,0.0,0.9667897068833358,0.0
Exp_12,160.0,0.9200234073278686,0.06381142795316791,0.0,0.0,0.8562119793747006,0.0
Exp_13,0.0,0.3,0.1,0.0,0.0,0.1,0.09999999999999999
Exp_13,80.0,1.1216411826722767,0.1293098481468619,0.0,0.0,0.5016464947980641,0.49068483972735083
Exp_13,160.0,0.8945025609376653,0.058172188992599135,0.0,0.0,0.39004521323253766,0.44628515871252855
Exp_14,0.0,0.2,0.1,0.0,0.1,0.0,0.0
Exp_14,80.0,1.0803277924705215,0.14769602828535341,0.0,0.932631764185168,0.0,0.0
Exp_14,160.0,0.9258933278614546,0.06793577245079577,0.0,0.8579575554106589,0.0,0.0
Exp_15,0.0,0.30000000000000004,0.1,0.0,0.1,0.0,0.1
Exp_15,80.0,1.131058041152545,0.13245879026765547,0.0,0.3145646640756103,0.0,0.6840345868092793
Exp_15,160.0,0.909677209422463,0.059931457361211776,0.0,0.2056890293989534,0.0,0.6440567226622979
Exp_16,0.0,0.3,0.1,0.0,0.1,0.09999999999999999,0.0
Exp_16,80.0,1.1238289259287284,0.13298241662751045,0.0,0.27222263381508094,0.718623875486137,0.0
Exp_16,160.0,0.9068027158806115,0.06037502493907506,0.0,0.1933529842654818,0.6530747066760546,0.0
Exp_17,0.0,0.4,0.1,0.0,0.1,0.1,0.1
Exp_17,80.0,1.1494412794608784,0.1262274968273766,0.0,0.18680649217882472,0.4064257259664058,0.42998156448827113
Exp_17,160.0,0.8963765539300165,0.05689105557869833,0.0,0.12071924258186235,0.3202442584220767,0.3985219973473791
Exp_18,0.0,0.2,0.1,0.1,0.0,0.0,0.0
Exp_18,80.0,0.21500501063117375,0.13021445929084327,0.08479055134033048,0.0,0.0,0.0
Exp_18,160.0,0.09471060328057225,0.056795644839399334,0.037914958441172916,0.0,0.0,0.0
Exp_19,0.0,0.30000000000000004,0.1,0.1,0.0,0.0,0.1
Exp_19,80.0,1.4435552471571313,0.12168900557819898,0.07428157665068107,0.0,0.0,1.2475846649282514
Exp_19,160.0,1.2497554043673347,0.05488788102641602,0.03505416579266057,0.0,0.0,1.159813357548258
Exp_20,0.0,0.30000000000000004,0.1,0.1,0.0,0.1,0.0
Exp_20,80.0,2.427160804657638,0.12412282829856426,0.07772983240220167,0.0,2.2253081439568723,0.0
Exp_20,160.0,2.1313427187550245,0.05599276426854926,0.03503453544401156,0.0,2.0403154190424635,0.0
Exp_21,0.0,0.4,0.1,0.10000000000000002,0.0,0.1,0.09999999999999999
Exp_21,80.0,2.362056287887945,0.11845599879905616,0.06919814154479619,0.0,1.7335073727749981,0.44089477476909444
Exp_21,160.0,2.0409867860498987,0.054176238132456575,0.03128398638955313,0.0,1.6292020439834596,0.32632451754442954
Exp_22,0.0,0.30000000000000004,0.1,0.1,0.1,0.0,0.0
Exp_22,80.0,2.3638838546784355,0.12597988408346572,0.07747021775194729,2.1604337528430224,0.0,0.0
Exp_22,160.0,2.128899367187926,0.05745231631080839,0.03474342377379722,2.0367036271033205,0.0,0.0
Exp_23,0.0,0.4,0.1,0.1,0.1,0.0,0.1
Exp_23,80.0,2.307204163628042,0.12119647881893578,0.07159137320018052,1.37829052388809,0.0,0.7361257877208355
Exp_23,160.0,2.029089932858424,0.05599762524557296,0.03384408605672619,1.3186801965095625,0.0,0.6205680250465627
Exp_24,0.0,0.4,0.1,0.10000000000000002,0.1,0.1,0.0
Exp_24,80.0,2.4185039242563633,0.1206000874715793,0.07274375407173747,0.4854008145093783,1.7397592682036684,0.0
Exp_24,160.0,2.0940353598041375,0.054466390675732446,0.032424043667253065,0.3540621176786823,1.6530828077824695,0.0
Exp_25,0.0,0.5,0.1,0.10000000000000002,0.1,0.1,0.1
Exp_25,80.0,2.374545475905583,0.1183295085347935,0.06858110607219978,0.41411206544870943,1.3710246563085875,0.4024981395412928
Exp_25,160.0,2.0221617998625994,0.053588521964321456,0.030011229832373698,0.3060045963796495,1.327133526027244,0.30542392565901044
