Experiments,Time,OD,s1,s2,s3,s4,s5
Exp_0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
Exp_0,6.0,0.06094444994188939,0.0,0.0,0.0,0.0,0.06094444994188939
Exp_0,12.0,0.07021860694037271,0.0,0.0,0.0,0.0,0.07021860694037271
Exp_0,18.0,0.0783973875958097,0.0,0.0,0.0,0.0,0.0783973875958097
Exp_0,24.0,0.08871435078280188,0.0,0.0,0.0,0.0,0.08871435078280188
Exp_0,30.0,0.09790153425427191,0.0,0.0,0.0,0.0,0.09790153425427191
Exp_0,36.0,0.10648814205575935,0.0,0.0,0.0,0.0,0.10648814205575935
Exp_0,42.0,0.11186856775865045,0.0,0.0,0.0,0.0,0.11186856775865045
Exp_0,48.0,0.11879451804532508,0.0,0.0,0.0,0.0,0.11879451804532508
Exp_0,54.0,0.12416763825474472,0.0,0.0,0.0,0.0,0.12416763825474472
Exp_0,60.0,0.12815564411364277,0.0,0.0,0.0,0.0,0.12815564411364277
Exp_0,66.0,0.13099115227332545,0.0,0.0,0.0,0.0,0.13099115227332545
Exp_0,72.0,0.1299786932928732,0.0,0.0,0.0,0.0,0.1299786932928732
Exp_0,78.0,0.12936599695848894,0.0,0.0,0.0,0.0,0.12936599695848894
Exp_0,84.0,0.12845487500702177,0.0,0.0,0.0,0.0,0.12845487500702177
Exp_0,90.0,0.1276119223796638,0.0,0.0,0.0,0.0,0.1276119223796638
Exp_0,96.0,0.12175950398185822,0.0,0.0,0.0,0.0,0.12175950398185822
Exp_1,0.0,0.05,0.0,0.0,0.0,0.05,0.0
Exp_1,6.0,0.06354469146294625,0.0,0.0,0.0,0.06354469146294625,0.0
Exp_1,12.0,0.07703390200933163,0.0,0.0,0.0,0.07703390200933163,0.0
Exp_1,18.0,0.090375577599912,0.0,0.0,0.0,0.090375577599912,0.0
Exp_1,24.0,0.10592100902041526,0.0,0.0,0.0,0.10592100902041526,0.0
Exp_1,30.0,0.11714703226306876,0.0,0.0,0.0,0.11714703226306876,0.0
Exp_1,36.0,0.12713268513358497,0.0,0.0,0.0,0.12713268513358497,0.0
Exp_1,42.0,0.1347355705064136,0.0,0.0,0.0,0.1347355705064136,0.0
Exp_1,48.0,0.1412266910307897,0.0,0.0,0.0,0.1412266910307897,0.0
Exp_1,54.0,0.14731150572497093,0.0,0.0,0.0,0.14731150572497093,0.0
Exp_1,60.0,0.14707669089796102,0.0,0.0,0.0,0.14707669089796102,0.0
Exp_1,66.0,0.1476617093621614,0.0,0.0,0.0,0.1476617093621614,0.0
Exp_1,72.0,0.14431200638023894,0.0,0.0,0.0,0.14431200638023894,0.0
Exp_1,78.0,0.14085094025182357,0.0,0.0,0.0,0.14085094025182357,0.0
Exp_1,84.0,0.1379820021864699,0.0,0.0,0.0,0.1379820021864699,0.0
Exp_1,90.0,0.1316115868844821,0.0,0.0,0.0,0.1316115868844821,0.0
Exp_1,96.0,0.12859516270153218,0.0,0.0,0.0,0.12859516270153218,0.0
Exp_2,0.0,0.05,0.0,0.0,0.0,0.025,0.025
Exp_2,6.0,0.06279447750990148,0.0,0.0,0.0,0.03167244558077381,0.031122031929127675
Exp_2,12.0,0.07020399431288026,0.0,0.0,0.0,0.03623591440259613,0.033968079910284124
Exp_2,18.0,0.08520311928524985,0.0,0.0,0.0,0.045985720354294594,0.03921739893095526
Exp_2,24.0,0.0966503412241296,0.0,0.0,0.0,0.05335880616922173,0.04329153505490788
Exp_2,30.0,0.10996411716587781,0.0,0.0,0.0,0.061899312676631915,0.048064804489245896
Exp_2,36.0,0.12296073943376407,0.0,0.0,0.0,0.06981981521197914,0.05314092422178494
Exp_2,42.0,0.13553296061313885,0.0,0.0,0.0,0.0769558759368495,0.058577084676289345
Exp_2,48.0,0.1412604671053914,0.0,0.0,0.0,0.0817614669253685,0.05949900018002289
Exp_2,54.0,0.14347344167169845,0.0,0.0,0.0,0.08295544049420733,0.06051800117749111
Exp_2,60.0,0.15040256408944386,0.0,0.0,0.0,0.08685917830449383,0.06354338578495002
Exp_2,66.0,0.15127417382549468,0.0,0.0,0.0,0.08831213307089127,0.06296204075460343
Exp_2,72.0,0.1527534421092982,0.0,0.0,0.0,0.08931939943468592,0.06343404267461226
Exp_2,78.0,0.1521520695315337,0.0,0.0,0.0,0.08774232864075036,0.06440974089078334
Exp_2,84.0,0.15211351067683748,0.0,0.0,0.0,0.08764489061737397,0.0644686200594635
Exp_2,90.0,0.14799633387759165,0.0,0.0,0.0,0.08433381884793463,0.06366251502965702
Exp_2,96.0,0.14432994231934548,0.0,0.0,0.0,0.0826348745093831,0.061695067809962395
Exp_3,0.0,0.05000000000000001,0.0,0.0,0.05000000000000001,0.0,0.0
Exp_3,6.0,0.06274904610569838,0.0,0.0,0.06274904610569838,0.0,0.0
Exp_3,12.0,0.07733016953671376,0.0,0.0,0.07733016953671376,0.0,0.0
Exp_3,18.0,0.0913735422858023,0.0,0.0,0.0913735422858023,0.0,0.0
Exp_3,24.0,0.10414363792947604,0.0,0.0,0.10414363792947604,0.0,0.0
Exp_3,30.0,0.11650659051764184,0.0,0.0,0.11650659051764184,0.0,0.0
Exp_3,36.0,0.12559292616358272,0.0,0.0,0.12559292616358272,0.0,0.0
Exp_3,42.0,0.1320224130424351,0.0,0.0,0.1320224130424351,0.0,0.0
Exp_3,48.0,0.1394912572250389,0.0,0.0,0.1394912572250389,0.0,0.0
Exp_3,54.0,0.13769877236294698,0.0,0.0,0.13769877236294698,0.0,0.0
Exp_3,60.0,0.14016023838890848,0.0,0.0,0.14016023838890848,0.0,0.0
Exp_3,66.0,0.13708633176988697,0.0,0.0,0.13708633176988697,0.0,0.0
Exp_3,72.0,0.1332257443795929,0.0,0.0,0.1332257443795929,0.0,0.0
Exp_3,78.0,0.13111670134517683,0.0,0.0,0.13111670134517683,0.0,0.0
Exp_3,84.0,0.12737388892044058,0.0,0.0,0.12737388892044058,0.0,0.0
Exp_3,90.0,0.12125110525352913,0.0,0.0,0.12125110525352913,0.0,0.0
Exp_3,96.0,0.11450133424533368,0.0,0.0,0.11450133424533368,0.0,0.0
Exp_4,0.0,0.05,0.0,0.0,0.025,0.0,0.025
Exp_4,6.0,0.059488554216263076,0.0,0.0,0.03026199462291982,0.0,0.029226559593343256
Exp_4,12.0,0.0717542771662454,0.0,0.0,0.038115138538423916,0.0,0.03363913862782148
Exp_4,18.0,0.08691403961962468,0.0,0.0,0.04701781975539783,0.0,0.03989621986422685
Exp_4,24.0,0.09720259131340037,0.0,0.0,0.05332879595084869,0.0,0.043873795362551676
Exp_4,30.0,0.10929687788103681,0.0,0.0,0.06044977272161667,0.0,0.048847105159420146
Exp_4,36.0,0.1223843812193657,0.0,0.0,0.06863304417360927,0.0,0.053751337045756444
Exp_4,42.0,0.1329770846419597,0.0,0.0,0.0728191748611616,0.0,0.0601579097807981
Exp_4,48.0,0.13988331961358158,0.0,0.0,0.07595638420729131,0.0,0.06392693540629027
Exp_4,54.0,0.14678448148827616,0.0,0.0,0.07935205571863845,0.0,0.0674324257696377
Exp_4,60.0,0.15287922166252513,0.0,0.0,0.08203475139134095,0.0,0.07084447027118418
Exp_4,66.0,0.1571415474588077,0.0,0.0,0.08411250915313398,0.0,0.07302903830567373
Exp_4,72.0,0.15919312314333983,0.0,0.0,0.08154399900354854,0.0,0.07764912413979128
