Experiments,Time,OD,s1,s2,s3,s4,s5
Exp_0,0.0,0.2,0.0,0.0,0.0,0.1,0.1
Exp_0,20.0,0.46358988089231645,0.0,0.0,0.0,0.2685033352414454,0.19508654565087105
Exp_0,40.0,0.406714167671059,0.0,0.0,0.0,0.24360721401008895,0.16310695366097006
Exp_0,60.0,0.3332777539587371,0.0,0.0,0.0,0.19914234573143222,0.13413540822730488
Exp_0,80.0,0.2753827081276656,0.0,0.0,0.0,0.16423296232505,0.1111497458026156
Exp_0,100.0,0.22475330205832822,0.0,0.0,0.0,0.13383923913454576,0.09091406292378246
Exp_0,120.0,0.18603557562762424,0.0,0.0,0.0,0.11191068657699467,0.07412488905062957
Exp_0,140.0,0.1487399172091492,0.0,0.0,0.0,0.09023192501948474,0.05850799218966446
Exp_0,160.0,0.1210749745379733,0.0,0.0,0.0,0.07258160340205344,0.048493371135919866
Exp_1,0.0,0.2,0.0,0.0,0.1,0.0,0.1
Exp_1,20.0,0.4276910187476535,0.0,0.0,0.20531803570944626,0.0,0.2223729830382072
Exp_1,40.0,0.39164174264252616,0.0,0.0,0.19936189623963352,0.0,0.19227984640289267
Exp_1,60.0,0.32988540141230216,0.0,0.0,0.17142838461910795,0.0,0.15845701679319418
Exp_1,80.0,0.27373188945007165,0.0,0.0,0.14460892333738268,0.0,0.129122966112689
Exp_1,100.0,0.22532406764124185,0.0,0.0,0.11992956182378839,0.0,0.10539450581745345
Exp_1,120.0,0.18281106381233497,0.0,0.0,0.09669577090136788,0.0,0.08611529291096709
Exp_1,140.0,0.1513276545208268,0.0,0.0,0.07898599110271233,0.0,0.07234166341811446
Exp_1,160.0,0.12273248886133704,0.0,0.0,0.06483593256593594,0.0,0.05789655629540111
Exp_2,0.0,0.2,0.0,0.0,0.1,0.09999999999999999,0.0
Exp_2,20.0,0.4677897571054368,0.0,0.0,0.18374819672275314,0.2840415603826837,0.0
Exp_2,40.0,0.4085530526465685,0.0,0.0,0.1593006991943446,0.24925235345222388,0.0
Exp_2,60.0,0.33461985871196265,0.0,0.0,0.12811395676394055,0.2065059019480221,0.0
Exp_2,80.0,0.2731020881723887,0.0,0.0,0.10608446837995339,0.1670176197924353,0.0
Exp_2,100.0,0.22626944323418174,0.0,0.0,0.08632725668462109,0.13994218654956067,0.0
Exp_2,120.0,0.1848374759537002,0.0,0.0,0.07025695748170514,0.11458051847199506,0.0
Exp_2,140.0,0.15235237956185665,0.0,0.0,0.0592502208184099,0.09310215874344675,0.0
Exp_2,160.0,0.12065924187418856,0.0,0.0,0.04605484393092739,0.07460439794326117,0.0
Exp_3,0.0,0.30000000000000004,0.0,0.0,0.1,0.1,0.1
Exp_3,20.0,0.561760813750227,0.0,0.0,0.159534039531208,0.22745229240644585,0.17477448181257318
Exp_3,40.0,0.47599773507055326,0.0,0.0,0.13494947096903978,0.19625250971327385,0.1447957543882396
Exp_3,60.0,0.3925967025152839,0.0,0.0,0.11064012614868263,0.16162367132537078,0.12033290504123051
Exp_3,80.0,0.31740763818576817,0.0,0.0,0.08966602919494514,0.1304234235016966,0.0973181854891264
Exp_3,100.0,0.26713523792299954,0.0,0.0,0.07681492264598266,0.11076942931157592,0.07955088596544099
Exp_3,120.0,0.21355145816396998,0.0,0.0,0.060019462052254155,0.08827790342761113,0.06525409268410469
Exp_3,140.0,0.17416415537135657,0.0,0.0,0.04751758241003799,0.07233937174936052,0.05430720121195807
Exp_3,160.0,0.14487260091661447,0.0,0.0,0.04150571140318062,0.05940222766170504,0.0439646618517288
Exp_4,0.0,0.2,0.0,0.1,0.0,0.0,0.1
Exp_4,20.0,0.4892775671149039,0.0,0.15592821986272162,0.0,0.0,0.33334934725218224
Exp_4,40.0,0.6377784278174734,0.0,0.12715450747487572,0.0,0.0,0.5106239203425977
Exp_4,60.0,0.6987212755734309,0.0,0.10354955110883565,0.0,0.0,0.5951717244645952
Exp_4,80.0,0.7200323160207553,0.0,0.08645240709069457,0.0,0.0,0.6335799089300608
Exp_4,100.0,0.7079855516155112,0.0,0.07080912931374392,0.0,0.0,0.6371764223017673
Exp_4,120.0,0.6739466590099216,0.0,0.05704516572893432,0.0,0.0,0.6169014932809872
Exp_4,140.0,0.6288137660046482,0.0,0.04666289924903885,0.0,0.0,0.5821508667556093
Exp_4,160.0,0.5825276580633403,0.0,0.03800475475117778,0.0,0.0,0.5445229033121625
Exp_5,0.0,0.2,0.0,0.1,0.0,0.1,0.0
Exp_5,20.0,0.8759928236876905,0.0,0.1569024822812529,0.0,0.7190903414064376,0.0
Exp_5,40.0,1.403913155874235,0.0,0.13013459547405354,0.0,1.2737785604001814,0.0
Exp_5,60.0,1.6656281564077626,0.0,0.10717453874359122,0.0,1.5584536176641715,0.0
Exp_5,80.0,1.7871892945044072,0.0,0.08793917480111035,0.0,1.699250119703297,0.0
Exp_5,100.0,1.805875549937648,0.0,0.06984221091729807,0.0,1.73603333902035,0.0
Exp_5,120.0,1.7666558114619393,0.0,0.05905081482211115,0.0,1.7076049966398281,0.0
Exp_5,140.0,1.672197263863011,0.0,0.04630159124403068,0.0,1.6258956726189802,0.0
Exp_5,160.0,1.5622469420832885,0.0,0.03997640872083466,0.0,1.5222705333624538,0.0
Exp_6,0.0,0.30000000000000004,0.0,0.10000000000000002,0.0,0.1,0.1
