Treat,Time,Sulfate,Lactate,Glucose,FP_abs,DP_abs,Sulfide
Pair_10,10.28,0.66,0.66,0.66,0.0875447400739497,0.24312192555957,3261.23024926735
DP_1,10.28,0,0,0,1.5440356306142e-05,0.0585845576012414,419.848949220725
DP_2,10.28,0,0,1,0,0.071999996304512,439.014407051625
DP_3,10.28,0,1,0,0,0.109933331012726,386.7340348597
DP_4,10.28,0,1,1,4.93189249400624e-05,0.0950173421150481,583.10224937155
DP_5,10.28,1,0,0,3.68144944786286e-05,0.0867631839875898,444.988910867525
DP_6,10.28,1,0,1,4.2200717564075e-05,0.0840244678326094,373.872258690375
DP_7,10.28,1,1,0,0,0.19593333641688,1690.64587204605
DP_8,10.28,1,1,1,4.78664215656439e-05,0.264818807922179,2364.91009124375
DP_9,10.28,0.5,0.5,0.5,3.49844426280376e-05,0.12916501155194,862.072502264925
DP_10,10.28,0.66,0.66,0.66,0.000100932748047347,0.202998131452148,1718.62932555238
FP_1,18.66,0,0,0,0.0310544468522983,1.22235654873881e-05,-56.983754384475
FP_2,18.66,0,0,1,0.0331700190432801,2.99810838764474e-05,-55.10937010945
FP_3,18.66,0,1,0,0.0255274521846438,5.88064006322336e-06,-50.29774860135
FP_4,18.66,0,1,1,0.0215790101145094,2.09923332546503e-05,-24.156469278375
FP_5,18.66,1,0,0,0.0237031277931968,3.02093309919707e-05,-63.53844315595
FP_6,18.66,1,0,1,0.0272659948505158,6.7338641763261e-05,-46.230581924375
FP_7,18.66,1,1,0,0.0182484550987894,1.82072604483119e-05,-36.329545294625
FP_8,18.66,1,1,1,0.0197925017467852,7.49506635308501e-06,-29.55201417775
FP_9,18.66,0.5,0.5,0.5,0.0357036435289267,2.96930786884316e-05,-59.09872025195
FP_10,18.66,0.66,0.66,0.66,0.0265207813566093,0,-66.49637094235
Pair_1,18.66,0,0,0,0.0867323312279343,0.142633023085057,908.227722107525
Pair_2,18.66,0,0,1,0.101671092869784,0.140928905445392,862.01912887595
Pair_3,18.66,0,1,0,0.0874310050392672,0.104575721169238,733.785838246225
Pair_4,18.66,0,1,1,0.0813817657297812,0.12067333176622,853.411335982525
Pair_5,18.66,1,0,0,0.0874590864165207,0.131407489033224,1219.64837355085
Pair_6,18.66,1,0,1,0.0942888237198657,0.148977842613015,1370.7218752863
Pair_7,18.66,1,1,0,0.080421154123348,0.438112169482507,3326.91273505472
Pair_8,18.66,1,1,1,0.0837119604051382,0.371903793690612,3683.62828946422
Pair_9,18.66,0.5,0.5,0.5,0.0976754236759136,0.272969293971664,2142.05337194182
Pair_10,18.66,0.66,0.66,0.66,0.0827149987848017,0.374737080528614,3470.3863633777
DP_1,18.66,0,0,0,3.33769061726423e-05,0.0722332905790645,456.789040063725
DP_2,18.66,0,0,1,0,0.0717333300908407,489.373264047375
DP_3,18.66,0,1,0,0,0.0913333340485891,342.648411227125
DP_4,18.66,0,1,1,8.86424063715896e-05,0.0997780204138087,798.271409862325
DP_5,18.66,1,0,0,0.000106344432131771,0.0880936578805284,737.2777988903
DP_6,18.66,1,0,1,0,0.0933333331346512,466.84599433575
DP_7,18.66,1,1,0,9.42607412588365e-05,0.249772417973493,2542.08020555442
DP_8,18.66,1,1,1,0.000131305109781773,0.281935352433401,2916.7843016671
DP_9,18.66,0.5,0.5,0.5,6.86437336999751e-05,0.197398022170027,1328.22123240805
DP_10,18.66,0.66,0.66,0.66,7.80909377710571e-05,0.243255233256183,2136.41162958335
FP_1,36.58,0,0,0,0.0810666674375534,0,-60.21938865875
FP_2,36.58,0,0,1,0.0789867964712694,0,-57.4623406671
FP_3,36.58,0,1,0,0.0497018631750938,9.27403846742173e-06,-49.05931536855
FP_4,36.58,0,1,1,0.063506777495386,0,-34.844856906275
FP_5,36.58,1,0,0,0.0857522307110555,0,-68.073111139775
FP_6,36.58,1,0,1,0.065066664814949,0,-48.239314732875
FP_7,36.58,1,1,0,0.0730811997368472,0,-51.184867376975
FP_8,36.58,1,1,1,0.0618764485891311,0,-68.942314918775
FP_9,36.58,0.5,0.5,0.5,0.0709333364168803,0,-28.31759974695
FP_10,36.58,0.66,0.66,0.66,0.0763331398747519,6.73972575087526e-05,-33.096330197475
Pair_1,36.58,0,0,0,0.169641993452803,0.148958009869163,101.120629256925
Pair_2,36.58,0,0,1,0.404849224531419,0.169123637148229,169.91918306255
Pair_3,36.58,0,1,0,0.14520332294882,0.128263347961697,73.01339098755
Pair_4,36.58,0,1,1,0.310700719092032,0.144965956475595,126.56070586105
Pair_5,36.58,1,0,0,0.220693137058204,0.202880997908329,1685.87863199895
Pair_6,36.58,1,0,1,0.34935939565746,0.289549895617153,1247.06599586175
Pair_7,36.58,1,1,0,0.193111378053324,0.293888624807698,695.642467161925
Pair_8,36.58,1,1,1,0.265768460156564,0.314182101728796,517.10606571375
Pair_9,36.58,0.5,0.5,0.5,0.239440757564819,0.266066621978855,147.014684325
Pair_10,36.58,0.66,0.66,0.66,0.244751165910837,0.352303378673904,399.768859578775
DP_1,36.58,0,0,0,0.000263247860123289,0.0970034156514709,61.84378015905
DP_2,36.58,0,0,1,5.20146510664672e-05,0.102658756994099,249.17844548895
DP_3,36.58,0,1,0,0,0.106333334644636,-7.02638956257502
DP_4,36.58,0,1,1,0,0.105599998831749,-76.560151174875
DP_5,36.58,1,0,0,0,0.135800003409386,278.720150121375
DP_6,36.58,1,0,1,0,0.164803773078427,312.011050138125
DP_7,36.58,1,1,0,0.000217086703075133,0.316449570426848,283.50911357165
DP_8,36.58,1,1,1,0,0.333266669909159,169.836697593325
DP_9,36.58,0.5,0.5,0.5,0,0.165670009406425,-76.43110199385
DP_10,36.58,0.66,0.66,0.66,0,0.245866670608521,-70.220327886275
