Treatments,Time,s1,s2,s3,s4,s5,s6
exp_1,0.0,0.1,0.1,0.1,0.1,0.1,0.1
exp_1,5.333333333333333,-0.0011866250829285511,0.0020893799687920446,0.0007987912708400932,1.0389345136523925e-05,-0.0015601153442035766,-0.0008704700614062627
exp_1,10.666666666666666,-4.4952312957013446e-05,7.77106045442277e-05,2.468109493875207e-05,-3.04555279110539e-06,-5.515782458333211e-05,-1.9399585783802946e-05
exp_1,16.0,-1.4649828771764543e-06,2.5743530829449675e-06,6.778968961567227e-07,-1.2358346850960126e-07,-1.7847649831018409e-06,-1.445392667061458e-07
exp_2,0.0,0.1,0.1,0.1,0.1,0.1,0.0
exp_2,5.333333333333333,-0.001240433462848275,0.0037830856017803884,0.0017927537320141173,0.0007698307887685818,-0.0021360099408245232,-0.0038675944247111406
exp_2,10.666666666666666,-7.142812596932749e-05,0.0001908228768799132,7.386722173738509e-05,2.30036557144693e-05,-0.00011855790343842636,-0.00014073316065797207
exp_2,16.0,-2.853831095375893e-06,8.106339897381569e-06,2.6531362016200438e-06,1.236199976204276e-06,-4.450975328035369e-06,-4.119963905698655e-06
exp_3,0.0,0.1,0.1,0.1,0.1,0.0,0.1
exp_3,5.333333333333333,-0.0011647383132999043,0.003009176733509028,0.0014038252403992242,0.0005221603923090864,-0.00216992910653088,-0.002253914357320611
exp_3,10.666666666666666,-5.777791602924608e-05,0.0001283076878259076,5.1502849763169243e-05,1.1470495465639669e-05,-8.275835060626374e-05,-7.945888398772778e-05
exp_3,16.0,-2.1555897695937318e-06,5.547454092775934e-06,1.5338427303890956e-06,6.246784314630736e-07,-3.118858549052771e-06,-2.1922019536690105e-06
exp_4,0.0,0.1,0.1,0.1,0.1,0.0,0.0
exp_4,5.333333333333333,-0.0011909466746889308,0.004571006854291771,0.0024566830460539283,0.001287940110006735,-0.00288033775670798,-0.005538990016161944
exp_4,10.666666666666666,-8.756575381460525e-05,0.00023788275775082023,9.903134539400979e-05,3.7851288462816514e-05,-0.00014702278123182274,-0.00020002766194548077
exp_4,16.0,-4.3159777179415536e-06,1.051439237835452e-05,4.125529817254122e-06,1.1872173316579683e-06,-6.474598117403044e-06,-6.7155309016445e-06
exp_5,0.0,0.1,0.1,0.1,0.0,0.1,0.1
exp_5,5.333333333333333,-0.0017672547999693924,0.002632516836660659,0.0006878872097385051,-0.00048795978623039784,-0.0017235511258717094,-0.00011824470075052953
exp_5,10.666666666666666,-5.6811358671515064e-05,6.864543281233868e-05,1.4763624863573425e-05,-1.80135339585941e-05,-5.528923497686114e-05,2.3356532793683736e-05
exp_5,16.0,-1.1405597836996995e-06,1.6801773532695275e-06,-1.3592255846626157e-07,-3.795640033236661e-07,-1.0337145553444787e-06,1.9083260105482083e-06
exp_6,0.0,0.1,0.1,0.1,0.0,0.1,0.0
exp_6,5.333333333333333,-0.001867481637534899,0.004040888277922856,0.001603771489085803,0.0003444801597424461,-0.0023799539977979486,-0.0030967866947906606
exp_6,10.666666666666666,-8.69541104237196e-05,0.00017030636984128095,6.473301988469294e-05,8.892666725365957e-06,-0.0001199077184677286,-9.472224231425978e-05
exp_6,16.0,-3.4116740892076216e-06,6.918165457342249e-06,2.309031811590917e-06,1.9150336668753119e-07,-4.304407182178656e-06,-2.5432741141245128e-06
exp_7,0.0,0.1,0.1,0.1,0.0,0.0,0.1
exp_7,5.333333333333333,-0.0018492009136808613,0.0034337203892135276,0.001309354820475331,5.823452985108627e-05,-0.0023233596889833804,-0.0014087772317452475
exp_7,10.666666666666666,-7.042036545295115e-05,0.00011969905417113419,4.2031772270305476e-05,-4.069942281095956e-06,-8.441111387829136e-05,-3.6894804703981526e-05
exp_7,16.0,-2.0119896898175818e-06,4.516815530700313e-06,9.511104376725344e-07,2.1779829421684674e-07,-2.427380534507259e-06,-1.6037766600801514e-07
exp_8,0.0,0.1,0.1,0.1,0.0,0.0,0.0
exp_8,5.333333333333333,-0.001930092171010972,0.005132092017174543,0.002179260043229422,0.0008612851660846501,-0.003036137637991865,-0.004415420180873866
exp_8,10.666666666666666,-0.00010006582145569391,0.00022420831389195571,9.241805050458155e-05,2.3168487563251524e-05,-0.00013907457161068507,-0.00015234781878750752
exp_8,16.0,-3.9455452238961905e-06,9.387968182775771e-06,3.207317840482457e-06,9.530254587139583e-07,-5.929710292948492e-06,-4.735925559243346e-06
exp_9,0.0,0.1,0.1,0.0,0.1,0.1,0.1
exp_9,5.333333333333333,-0.0006114823892944563,0.0008771235772652692,0.0002336963308914374,-0.00015912008418700603,-0.0006714872145964209,4.178456773178477e-05
exp_9,10.666666666666666,-1.9143953717550893e-05,2.1979668833571847e-05,4.6216016910870346e-06,-6.823927303094461e-06,-1.829229625072269e-05,9.77240438812729e-06
exp_9,16.0,4.326933661229775e-08,8.862491229949015e-07,-3.523152187658055e-07,2.8122987129064405e-07,4.133201454558091e-08,1.062875153044325e-06
exp_10,0.0,0.1,0.1,0.0,0.1,0.1,0.0
exp_10,5.333333333333333,-0.0006563917095500982,0.002518389390296171,0.001237261222025229,0.000653616036813935,-0.001323608148601416,-0.0030073217145371697
exp_10,10.666666666666666,-4.637678832421779e-05,0.000122823540301073,5.4339088806751255e-05,2.231397162150247e-05,-7.77858003459925e-05,-0.00010884911939007167
exp_10,16.0,-2.2807395107890345e-06,5.833448184496369e-06,2.111667578279715e-06,6.991288799242701e-07,-3.417910999222721e-06,-3.635436588212912e-06
exp_11,0.0,0.1,0.1,0.0,0.1,0.0,0.1
exp_11,5.333333333333333,-0.0006126953280852352,0.0017295206764885072,0.0008476905075721411,0.00036742853501755683,-0.0012608762040448296,-0.0013285005730426399
exp_11,10.666666666666666,-3.2660300106076826e-05,7.25354727354225e-05,3.0294687166129162e-05,7.603193132953751e-06,-4.849486203083474e-05,-5.215734570997127e-05
exp_11,16.0,-1.244009098599188e-06,3.1816649423197143e-06,1.0212899600494048e-06,3.4065320635419054e-07,-1.895018641610115e-06,-1.4484790745764454e-06
exp_12,0.0,0.1,0.1,0.0,0.1,0.0,0.0
exp_12,5.333333333333333,-0.0006526542902022022,0.0032985989458898424,0.0018032423790711148,0.0011601212040408546,-0.0019108709675071667,-0.004335346704329772
exp_12,10.666666666666666,-6.370085123167624e-05,0.00018401348803302053,8.343279071938337e-05,3.270654470315032e-05,-0.00010372510044454339,-0.0001730765987549085
exp_12,16.0,-2.720775427311245e-06,8.860341269943941e-06,2.9637081507016137e-06,1.7106377959234965e-06,-4.763835368179623e-06,-5.238232048605329e-06
exp_13,0.0,0.1,0.1,0.0,0.0,0.1,0.1
exp_13,5.333333333333333,-0.0012274203118021602,0.001241059172649573,8.502554344611136e-05,-0.0006098947310052713,-0.0008945074390641748,0.0007789280792040445
exp_13,10.666666666666666,-3.1300798344070256e-05,1.5440759403032775e-05,-6.170808948030485e-06,-2.182477513601674e-05,-1.9836767810213136e-05,5.295213121512776e-05
exp_13,16.0,9.996572340788077e-08,-2.3177744313383395e-07,-1.0017933259040843e-06,-2.3668478073379724e-07,5.338138343394787e-07,2.955309455567085e-06
exp_14,0.0,0.1,0.1,0.0,0.0,0.1,0.0
exp_14,5.333333333333333,-0.0013510748739295952,0.0029188527997855537,0.0010911268193389996,0.00016722793597101276,-0.0015929645093161165,-0.002275264240672066
exp_14,10.666666666666666,-5.723956113513535e-05,0.00012142276690126061,4.3262159803200024e-05,5.8537729121742226e-06,-7.95775501504072e-05,-6.562832376115472e-05
exp_14,16.0,-2.3342198068660803e-06,4.620651580940833e-06,1.5322860523613234e-06,1.708425471662833e-07,-3.048441152115315e-06,-1.7739962773222385e-06
exp_15,0.0,0.1,0.1,0.0,0.0,0.0,0.1
exp_15,5.333333333333333,-0.0012296633693572585,0.002049646198684255,0.0007052618873728472,-0.00010978974632767233,-0.0014426110535545635,-0.0005566941054302256
exp_15,10.666666666666666,-4.429879416047744e-05,6.568612476235634e-05,2.0332064036273433e-05,-7.733476176980815e-06,-5.033390302571465e-05,-7.587109428640772e-06
exp_15,16.0,-1.2084009727588944e-06,2.0811913718132603e-06,3.791518325912672e-07,-1.4196088154253572e-07,-1.331905694593565e-06,4.326706819144246e-07
exp_16,0.0,0.1,0.1,0.0,0.0,0.0,0.0
exp_16,5.333333333333333,-0.0012433067965425379,0.003680992011959638,0.0017571319848056124,0.0006784173199757831,-0.002146859117961721,-0.00352942587108114
exp_16,10.666666666666666,-7.015947282744699e-05,0.00016920966645370082,7.256111175204632e-05,2.107553729942215e-05,-0.00010756212094200902,-0.00012639831179109767
exp_16,16.0,-3.2988431659761e-06,7.1152799898345185e-06,2.737865517877951e-06,5.946679855490693e-07,-4.6967177600162845e-06,-4.074570224681778e-06
exp_17,0.0,0.1,0.0,0.1,0.1,0.1,0.1
exp_17,5.333333333333333,0.000451926816988441,-0.00028920098163801017,0.00012167652556144432,0.00035175471349264487,0.00019693091906687634,-0.0005582307624362488
exp_17,10.666666666666666,7.751506690195456e-06,5.854551524988938e-06,8.062831838786841e-06,1.0845178830647771e-05,3.5973623485916104e-07,-3.274001179426314e-05
exp_17,16.0,6.116503237428534e-07,1.3798398262185148e-06,7.338354618108114e-08,1.1404833139132498e-06,1.5964725805458758e-07,-8.134671578406596e-07
exp_18,0.0,0.1,0.0,0.1,0.1,0.1,0.0
exp_18,5.333333333333333,0.0004219756758446729,0.001341063083600491,0.0011211775915502369,0.0011681130408672993,-0.0004757800465611872,-0.00363548152936897
exp_18,10.666666666666666,-2.097581807318562e-05,0.00010994140370628846,5.950392522350605e-05,3.798226357998498e-05,-5.9124505810406694e-05,-0.0001459398266377388
exp_18,16.0,-1.787130019189151e-06,6.402891910581713e-06,2.6543352631661644e-06,1.4767145514485126e-06,-3.4100050917331658e-06,-5.442054948074859e-06
exp_19,0.0,0.1,0.0,0.1,0.1,0.0,0.1
exp_19,5.333333333333333,0.0004730514891957404,0.0005018919827927137,0.0007433544007080039,0.000890457459704087,-0.000381175393547241,-0.0018815395171811306
exp_19,10.666666666666666,-5.8203141057341216e-06,5.6066690593618297e-05,3.49149869183821e-05,2.613935459362687e-05,-3.0427873308598443e-05,-9.262005503168874e-05
exp_19,16.0,-8.97880870801003e-07,3.540065861900571e-06,1.5665960236144756e-06,9.846916502390275e-07,-1.8550344242474069e-06,-3.5601112205549676e-06
exp_20,0.0,0.1,0.0,0.1,0.1,0.0,0.0
exp_20,5.333333333333333,0.0004388756592073174,0.0022564583998044368,0.0016892722855171096,0.001740050216257572,-0.0010303552621673403,-0.004843153463203718
exp_20,10.666666666666666,-3.225560724572655e-05,0.0001637441446120104,8.401610885020365e-05,5.47564862728368e-05,-8.671894053289784e-05,-0.00020790326741353734
exp_20,16.0,-2.904533708884558e-06,9.143549805237096e-06,3.7541577492091925e-06,1.8103632574867078e-06,-5.2156365481362255e-06,-7.88188972967671e-06
exp_21,0.0,0.1,0.0,0.1,0.0,0.1,0.1
exp_21,5.333333333333333,-0.00018111838859995164,0.00012384912699811392,-2.5015520151367247e-05,-0.00012418125629984217,-5.943279488649013e-05,0.00015696279419083876
exp_21,10.666666666666666,-2.831916029890742e-06,-6.797962967312495e-07,-2.596637359151823e-06,-3.6792089079431683e-06,-5.078993997564596e-07,1.0916637000380107e-05
exp_21,16.0,2.6581521807835415e-07,-1.937090379376361e-08,-3.2318973381301664e-07,1.477831610574179e-07,3.436161863341156e-07,7.032292107836943e-07
exp_22,0.0,0.1,0.0,0.1,0.0,0.1,0.0
exp_22,5.333333333333333,-0.0002166016089157507,0.0017917883383022218,0.0009605608727730263,0.0006834605587117277,-0.0007252503240775157,-0.0028538379253438126
exp_22,10.666666666666666,-3.2824351280941194e-05,0.00010128539126765328,5.0003607584454396e-05,2.4438531709239733e-05,-5.875064859076341e-05,-0.00011093793113083735
exp_22,16.0,-1.4688700544904308e-06,5.3767401228432935e-06,1.8047917704304423e-06,1.1593020558171295e-06,-2.708770048232777e-06,-3.5948865780273476e-06
exp_23,0.0,0.1,0.0,0.1,0.0,0.0,0.1
exp_23,5.333333333333333,-0.00015936396152352756,0.0009512515638288865,0.0005841790398614757,0.00038905160029685456,-0.000645413474872749,-0.0012264381518360958
exp_23,10.666666666666666,-1.646819110289319e-05,5.181391139675645e-05,2.30992919507602e-05,1.0939750319389958e-05,-3.134641459650718e-05,-5.1402151725950746e-05
exp_23,16.0,-8.42587179916404e-07,2.645000544100005e-06,8.876522431824979e-07,4.774416107030048e-07,-1.3117078869745164e-06,-1.601920671638791e-06
exp_24,0.0,0.1,0.0,0.1,0.0,0.0,0.0
exp_24,5.333333333333333,-0.0001871028670975649,0.0025834060063801346,0.001530133087355493,0.0011728579627322236,-0.0012781527172574328,-0.0040797896802270885
exp_24,10.666666666666666,-4.607133615261908e-05,0.0001560753958838639,7.486612514252765e-05,3.6806399153542677e-05,-8.700389819632506e-05,-0.00017075871739438055
exp_24,16.0,-2.6315526645953292e-06,7.95504782309532e-06,3.0575046413790123e-06,1.4551492077004466e-06,-4.593715777955135e-06,-5.786957728192856e-06
exp_25,0.0,0.1,0.0,0.0,0.1,0.1,0.1
exp_25,5.333333333333333,0.0010016298743988111,-0.0016369410742720432,-0.00045427249587458074,0.00017569775557557815,0.0010344266846418718,0.0003122417705658032
exp_25,10.666666666666666,3.406599533623701e-05,-4.91398597679125e-05,-1.2967976231460118e-05,7.643094532878954e-06,3.5303555341276014e-05,-2.7398979639171733e-06
exp_25,16.0,1.486271595466563e-06,-8.362933502276838e-07,-5.624233819862922e-07,8.798891911406585e-07,1.3663174020633085e-06,-7.714843871965166e-08
exp_26,0.0,0.1,0.0,0.0,0.1,0.1,0.0
exp_26,5.333333333333333,0.001004777302223276,2.220435178311285e-05,0.0005046327368306349,0.0010242184745369784,0.0004094977240949058,-0.002711001059732936
exp_26,10.666666666666666,6.234220075404367e-06,5.5440007595688236e-05,3.8609576059460376e-05,3.760140744700683e-05,-2.1403207640284234e-05,-0.00012475033077744834
exp_26,16.0,-7.922307344610529e-07,4.082222293421363e-06,1.9404713986696097e-06,1.2828213921522803e-06,-2.0829326193866564e-06,-4.8566888305792095e-06
exp_27,0.0,0.1,0.0,0.0,0.1,0.0,0.1
exp_27,5.333333333333333,0.0010208568267214262,-0.0007664188035587095,0.00015961213939426274,0.0006828164681914994,0.0004992215715235619,-0.0010210073795654643
exp_27,10.666666666666666,2.062693901930515e-05,5.278796267791235e-06,1.2663567459046787e-05,2.2666296399669243e-05,7.140008063957308e-06,-6.242264502867036e-05
exp_27,16.0,2.587243561426537e-07,1.565029495214339e-06,7.745537743174391e-07,9.69876774833588e-07,-4.4484480672833215e-07,-2.683226011833994e-06
exp_28,0.0,0.1,0.0,0.0,0.1,0.0,0.0
exp_28,5.333333333333333,0.0009932184494194517,0.0008261071199744704,0.0010464423598339995,0.001556019867698356,-0.0001526588431518368,-0.004126574458008779
exp_28,10.666666666666666,-7.921748325899493e-06,0.00010733823312282737,6.233551173203152e-05,5.103792921073128e-05,-5.368709213656288e-05,-0.00018583922317892075
exp_28,16.0,-1.7809558458337684e-06,6.662206968567488e-06,3.013467473119709e-06,1.7306913297913302e-06,-3.713962387467287e-06,-6.970913155685299e-06
exp_29,0.0,0.1,0.0,0.0,0.0,0.1,0.1
exp_29,5.333333333333333,0.0004001090003299852,-0.0012262189682959131,-0.0005880441443197509,-0.0002845259885744464,0.0008167325266641547,0.0010718182101785466
exp_29,10.666666666666666,2.2185033691593425e-05,-5.60958516006782e-05,-2.29642154208929e-05,-7.342672367660251e-06,3.5576685851656385e-05,4.1461057301077e-05
exp_29,16.0,1.235442527968716e-06,-2.294801798802372e-06,-9.648729413504839e-07,-4.563101198338416e-08,1.5675056863825867e-06,1.4484176388980402e-06
exp_30,0.0,0.1,0.0,0.0,0.0,0.1,0.0
exp_30,5.333333333333333,0.00035226010719070734,0.00043250766368902317,0.0003692079875935669,0.0005259746882694603,0.00017168840795748163,-0.002003652856566102
