Treatments,Time,OD,s1,s2,s3,s4,s5,s6
exp_1,0.0,0.3336297025904059,0.04893998373299838,0.08429827820509672,0.06979181505739689,0.06960837757214904,0.0006602352485060692,0.060331012774258855
exp_1,1.0666666666666667,0.4138673227616427,0.05412608174385429,0.11884094053700342,0.08762656192604713,0.08689961495849598,0.012687108171928098,0.05368701542431382
exp_1,2.1333333333333333,0.4754342552746209,0.06611860366949038,0.1634599346316427,0.09901290644714349,0.098643271416493,0.009486762786838856,0.038712776323012524
exp_1,3.2,0.5674108008179755,0.06379944757312934,0.1956405422196557,0.13289805833227264,0.1273689440469276,0.008260544076898918,0.039443264569091356
exp_1,4.266666666666667,0.6078733469635937,0.05944583870604521,0.2310953733021388,0.15540608588893293,0.12372547667877995,0.007853271354311199,0.030347301033385565
exp_1,5.333333333333333,0.6528152747275224,0.06074698566835282,0.25935819042130603,0.17433459661557818,0.13979159524096813,0.003066791795038526,0.015517114986278863
exp_1,6.4,0.7025696481053672,0.061755470073348945,0.28350788703210605,0.19568760609727898,0.14928870864719757,-0.001354279174362791,0.013684255429798429
exp_1,7.466666666666667,0.7532496750050587,0.046264308144319935,0.30420176297373436,0.2361496603862781,0.14351795127505199,0.008894571651524392,0.014221420574149973
exp_1,8.533333333333333,0.7756255365962604,0.04310230043054606,0.32533523704436784,0.246234640618487,0.14205823304104345,0.010949263431403922,0.007945862030412126
exp_1,9.6,0.8134296297624088,0.04481062848807858,0.3389922580539494,0.26675023786207036,0.15403415712016846,-0.0012352574806385927,0.010077605718780717
exp_1,10.666666666666666,0.8007784805561429,0.028443901675195143,0.3499161109326836,0.2797685457439244,0.14559148613004402,0.003581962246081937,-0.006523526171786325
exp_1,11.733333333333333,0.8385460498348427,0.03277147437925842,0.37847001298173144,0.2865403841640759,0.146573855301097,0.001208792609074152,-0.007018469600394196
exp_1,12.8,0.8341344584212063,0.027255985501930445,0.36418339549426765,0.2907146446330444,0.1513390524939723,-0.003417619074780541,0.004058999372772072
exp_1,13.866666666666667,0.8387242027907044,0.02664975017111879,0.3787721946933432,0.2902495775327977,0.1421191113912073,0.010010725532010318,-0.00907715652977298
exp_1,14.933333333333334,0.8500313651221659,0.01716182991327156,0.37855775995293384,0.30054456012837677,0.14618912922829494,0.00821942437222967,-0.0006413384729407356
exp_1,16.0,0.8395164837973932,0.019996470093421374,0.38685371478688524,0.30416245765838684,0.13836645216894633,-0.004842051155020286,-0.005020559755226452
exp_2,0.0,0.24006641581654553,0.08801530599594116,0.039836820960044865,0.007798083126544952,0.004698433727025986,0.06755777597427369,0.03215999603271485
exp_2,1.0666666666666667,0.2834814901987963,0.09363767590360175,0.059439835351667074,0.014234924161757041,0.008357265183900698,0.07041618859651663,0.03739560100135309
exp_2,2.1333333333333333,0.3208374598215938,0.11129797897690544,0.07966466765133672,0.009977469594785019,0.010171277604234762,0.08367645825404917,0.026049607740282685
exp_2,3.2,0.36056480445710937,0.1090615095243564,0.10951628740508132,0.021516682713650415,0.020911723867868805,0.07841834446938376,0.021140256476768652
exp_2,4.266666666666667,0.37183797524609563,0.10632706688342719,0.14555221948549107,0.019411015278233263,0.008466264723568264,0.07458334465783985,0.017498064217536052
exp_2,5.333333333333333,0.4366650717580742,0.1032997094308359,0.17718638515032448,0.04347334825574816,0.022795581254391916,0.07763740824067733,0.012272639426096424
exp_2,6.4,0.47792494648886213,0.09426780921844999,0.21845242777378765,0.05372477018458957,0.025601608779675294,0.08107262878779166,0.004805701744568021
exp_2,7.466666666666667,0.5046145356663919,0.08564093404772251,0.24576550801104552,0.0637330265116566,0.037084592131753406,0.06422583481199629,0.008164640152217632
exp_2,8.533333333333333,0.5633985184306863,0.07828893166949562,0.2824745812365044,0.09424245201061546,0.04238414979211878,0.059515730127336144,0.006492673594615914
exp_2,9.6,0.5967816133168127,0.0676871000526696,0.30594953491940763,0.12785019299516973,0.05204470333289366,0.05181138901323806,-0.008561306996566011
