Treatments,Time,OD,s1,s2,s3,s4,s5
mono_exp_1,0.0,-1.4173818062990904,-0.4095613416284323,-0.34531436674296856,-0.36871958151459694,-0.29925334453582764,0.0054668281227350235
mono_exp_1,0.5333333333333333,-0.44890343987926495,-0.11539315073178087,-0.10849193575939778,-0.10767156369482524,-0.1857987995366097,0.06614524849103268
mono_exp_1,1.0666666666666667,-0.08242539992093018,-0.0232228776697809,-0.02704928937577211,-0.01039720347180479,-0.09955668494020478,0.07291362309712866
mono_exp_1,1.6,0.02552792480425171,-0.002618115567497855,-0.0023382288171472252,0.021845223592661618,-0.04964836654692148,0.05922510655459561
mono_exp_1,2.1333333333333333,0.04633464405102234,-0.003279094911355151,0.003473818083834519,0.02940437274532731,-0.024697240488206366,0.04209056715675797
mono_exp_1,2.6666666666666665,0.03973873171618929,-0.007635865785163779,0.003944814366612015,0.028336982211987844,-0.013495854041895745,0.027864955432164197
mono_exp_1,3.2,0.026289953126353405,-0.010703048821920694,0.0033991147743989434,0.024756612750251195,-0.008857999558208762,0.01778688961592868
mono_exp_1,3.7333333333333334,0.016201572469956852,-0.01182346170183729,0.002932427887838931,0.02083828808624943,-0.006960843764030533,0.011214239847968568
mono_exp_1,4.266666666666667,0.009612641102267507,-0.011523272170880217,0.002660118708234125,0.017262158547027253,-0.006030836695885222,0.007113956440633297
mono_exp_1,4.8,0.005387080180758747,-0.010436851383081452,0.0024896905352050614,0.014182435606467887,-0.0053549133437006255,0.004603178213701422
mono_exp_1,5.333333333333333,0.0032491791194908205,-0.00903400110273489,0.00233412348697165,0.011581836832605118,-0.004710290132418979,0.003059182877158305
mono_exp_1,5.866666666666666,0.001960199050081843,-0.007592146671341022,0.0021554975445443767,0.009404251422873669,-0.004066167865104985,0.002090855084511069
mono_exp_1,6.4,0.0012692610934561094,-0.0062549537701851515,0.0019487486021582214,0.007594548970523226,-0.0034360059242188354,0.0014623501429498532
mono_exp_1,6.933333333333334,0.0009202905279359272,-0.005079945683782623,0.0017243212678122127,0.006097228978529665,-0.0028564617638474924,0.0010423992491281615
mono_exp_1,7.466666666666667,0.0006975502030145237,-0.004084174709874539,0.0014952425726730782,0.004867723804821318,-0.0023389234934226046,0.0007497676868177673
mono_exp_1,8.0,0.0005334828488408911,-0.003257422569483761,0.0012741680397753573,0.003864577338206123,-0.0018929916839956575,0.0005415633946911573
exp_2,0.0,1.4322231896221638,0.17682388424873352,0.953825656324625,0.6788460072129965,0.12068615108728409,-0.49795850925147533
exp_2,0.5333333333333333,0.32787151965117506,-0.022476505021406395,0.48962983396822574,0.19133044634264224,0.07601230070206243,-0.4065469603363071
exp_2,1.0666666666666667,-0.039221471762980784,-0.025071866874003607,0.27387309661920006,-0.017123521427305617,0.04030011608015883,-0.30940834653987037
exp_2,1.6,-0.12107743067373243,0.01703722967265582,0.16283015063918924,-0.1028775076555549,0.027805203305085176,-0.22488080944242927
exp_2,2.1333333333333333,-0.11281232640512497,0.05470562878209763,0.09885604761107566,-0.1333693465034051,0.028671198225815923,-0.15950998117003615
exp_2,2.6666666666666665,-0.08498353238800596,0.07709518473806486,0.058602124931419156,-0.13834492292230888,0.033545951896597384,-0.11224075144481825
exp_2,3.2,-0.05375798454322917,0.0858061798024416,0.032108840286849766,-0.1314019618158741,0.037523270756969596,-0.07922262919527509
exp_2,3.7333333333333334,-0.0358921476767415,0.08520938137052317,0.014603051250016527,-0.11905722494570921,0.03901459867896933,-0.056423461731894935
exp_2,4.266666666666667,-0.025677522811297676,0.07916468490236919,0.0032835585840929084,-0.10470857102993647,0.03809008710685693,-0.04064197510329367
exp_2,4.8,-0.0171940520263451,0.07049761196212673,-0.0036738771187567855,-0.0901393107885629,0.03542012101306561,-0.029577487173610025
exp_2,5.333333333333333,-0.01284861313358035,0.06098803292943234,-0.007588633130560853,-0.07630386515103431,0.031760773971741915,-0.021697298511953483
exp_2,5.866666666666666,-0.010026012653581797,0.051676541436863566,-0.009458189873621998,-0.06373304068900515,0.027688330483017897,-0.015989724129524516
exp_2,6.4,-0.007832318063579338,0.043094262094215616,-0.009988340730051823,-0.052618225675564,0.023631573335471782,-0.011814503202349124
