Well,Experiment,Condition,Treatments,Rep,Time,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,BAabs,BPabs,BTabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,FPabs,ERabs,BHabs,RIabs,CSabs,EHabs,OD
48,REU03,48,REU03_48,1,26.37,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.012462106908164,0.053830253500178,0.010590900764724,0.008618888903118,0.029617980068392,0.002362634019495,0.004126734087385,0.001071060755504,0.001927909359908,0.000163809292018,0.000182710364174,5.04028590825119E-05,0.000252014295413,0.000560731807294,1.2600714770641E-05,0.130366995017052
49,REU03,1,REU03_1,2,26.37,0.5,0,0,0,0.5,0,1,0.031262422579114,0.024222564404079,0.009092481970945,0.0416297763608,0.016573333539633,0.00286244802789,0.013173675377657,0.001210727317119,0.000833878417088,8.01806170277154E-05,0.000120270925542,8.81986787304869E-05,0.000160361234055,0.000400903085139,1.60361234055431E-05,0.145167007128715
50,REU03,2,REU03_2,2,26.37,0.5,0,0.5,0,0,0,1,0.002490424903218,0.044257410780081,0.089899684006344,0.046398710696867,0.018585086777752,0.004457162326787,0.014058099453678,0.008076424686136,0.002653349896886,0.000279299989146,0.000197837492312,5.81874977388301E-05,0.000290937488694,0.000744799971056,3.49124986432023E-05,0.239266990701675
51,REU03,3,REU03_3,2,26.37,0,0.5,0.5,0,0,1,0,0.001431126754397,0.086840108386511,0.031821849338121,0.010730687865017,0.000635442381296,0.001862122456494,0.000182344335502,0.000143665234032,0.003856858975171,0.000110511718486,0.000116037304411,1.65767577728928E-05,0.000121562890335,0.000221023436973,5.5255859243135E-06,0.140266998688698
52,REU03,4,REU03_4,2,26.37,0,0.3333482476,0.3333482476,0,0.3333035047,1,1,0.023331532922333,0.084613171452127,0.060423433765195,0.010211182114388,0.04808855850451,0.003272814780252,0.003054627128236,0.00592015829139,0.00578924570018,0.000160004278146,0.000160004278146,8.72750608067398E-05,5.81833738712471E-05,0.012640337973508,0,0.261766999046326
53,REU03,5,REU03_5,2,26.37,0,0,0,1,0,1,1,0.000916991472146,0.002960572467216,0.318798635230794,0.095052716027064,0.001126589522923,0.021536199717268,0.008252923249318,0.008907917157994,0.018549427493705,0.00026199756347,0.000288197319817,0.00141478684274,0.000235797807123,0.033745286174989,2.6199756347041E-05,0.518466978351593
54,REU03,6,REU03_6,2,26.37,0.3333167095,0,0.333366581,0,0.3333167095,0,0,0.000131390503076,0.03592776379203,0.005791951848727,0.001589609692957,0.000460943732104,0.001210515782441,6.03103948547433E-05,0.00015292992981,0.000150775987137,4.95406814878199E-05,0.000105543190996,4.73867388144445E-05,0.000208932439318,0.000297244088927,3.23091401007238E-05,0.046467005292893
55,REU03,7,REU03_7,2,26.37,0.5,0,0,0.5,0,1,0,0.001458028817708,0.042765422716575,0.016028049186212,0.012988777847891,0.088354492791387,0.003347305595583,0.000143749320056,0.001375886349105,0.010021381169598,0.000143749320056,6.16068514523747E-05,0.00011294589433,0.000164284937207,0.000369641108715,1.02678085754081E-05,0.178167014400482
57,REU03,9,REU03_9,2,26.37,0.3343112968,0,0.3328443516,0.3328443516,0,0,0,0.000126570760055,0.007237287617105,0.001877940321947,0.000952124987159,9.31503908273581E-05,0.000658452380963,5.61746631706928E-05,5.97300215992134E-05,7.67957420561332E-05,1.13771469712798E-05,4.4797516199413E-05,1.4221433714094E-05,9.74168209415851E-05,0.000131548261855,1.77767921426262E-05,0.011567003111363
58,REU03,10,REU03_10,2,26.37,0,0.5,0,0.5,0,1,0,0.00170406252006,0.143326475871972,0.061803137049989,0.035995233666477,0.00071620018959,0.007149653616772,0.000642110514805,0.000592717398282,0.014410441745722,0.000111134512178,0.000135831070439,4.93931165235715E-05,0.000259313861748,0.000333403536533,0,0.271266995946884
60,REU03,12,REU03_12,2,26.37,0.5,0,0.5,0,0,1,0,0.001941914378967,0.04898479020945,0.038316398089998,0.022829630917734,0.086305957180228,0.003301254444244,0.000279150191976,0.010959679276297,0.023873409896429,0.000145643578423,0.000291287156845,0.000254876262239,0.000364108946056,0.000558300383953,3.64108946055296E-05,0.243066995422363
61,REU03,13,REU03_13,2,26.37,0,0.3333868831,0,0.3333065585,0.3333065585,1,1,0.084234587490647,0.023888597701031,0.08291986004425,0.022481839333386,0.000736247369982,0.008611464773899,0.002642602167258,0.003221082243672,0.013949258206271,9.20309212477756E-05,0.000249798214815,0.000210356391423,0.000236650940351,0.01172736882186,6.57363723198772E-05,0.262367009202957
62,REU03,14,REU03_14,2,26.37,0.5,0,0,0,0.5,1,0,0.004103728154051,0.050112834188897,0.020000037761778,0.034735127589649,0.063280841012886,0.002559193107059,0.000202931612014,0.003393467512004,0.009368676087958,0.000169109676678,7.89178491163497E-05,0.000112739784452,0.000225479568904,0.000214205590459,0,0.190766989271164
63,REU03,15,REU03_15,2,26.37,0,0,0,0,1,1,1,0.114547033919498,0.014727681857676,0.028734125622421,0.013689099003854,0.000245220951597,0.005769904743458,0.005293887602123,0.006866186644715,0.005755479981599,0.00021637142788,0.000158672380445,0.001269379043561,0.000201946666021,0.029065895145169,2.88495237172484E-05,0.227766989748001
64,REU03,16,REU03_16,2,26.37,0,0,0.5,0,0.5,0,1,0.059326422866293,0.010438527001381,0.099968359045183,0.006387043918653,0.048379474458453,0.005036549557744,0.011916126713905,0.015141425011135,0.005195431247262,0.000381316054845,0.000238322534278,0.000111217182663,0.000285987041134,0.000905625630257,0,0.264966993610382
65,REU03,17,REU03_17,2,26.37,0.3334975507,0.3334975507,0,0.3330048985,0,1,1,0.00283246157646,0.067477122618959,0.141192831494931,0.041590575046755,0.117529228451088,0.00978812671359,0.005342237656868,0.002689045800437,0.020293332307296,0.000143415776023,0.000179269720029,0.000394393384064,7.17078880116301E-05,0.010541059537712,0,0.422467022220612
66,REU03,18,REU03_18,2,26.37,0,0,0,0.5,0.5,1,0,0.023053380507444,0.001336717000432,0.032260767010417,0.013721300254431,0.000693297250224,0.007197323252324,0.001491337250482,0.004040077501305,0.008179910002641,6.48407500209407E-05,0.000194522250063,0.000179559000058,0.000144644750047,0.000304252750098,1.4963250004869E-05,0.094867005030632
67,REU03,19,REU03_19,2,26.37,1,0,0,0,0,0,0,0.000106020996713,0.078778419694029,0.011281597877514,0.00510346525087,0.000106020996713,0.001686697674981,7.71061794277093E-05,0.000115659269142,0.000173488903712,3.37339534995673E-05,5.30104983565193E-05,2.409568107119E-05,0.000231318538283,0.000178308039927,1.9276544856952E-05,0.098666994850159
68,REU03,20,REU03_20,2,26.37,0,1,0,0,0,0,0,0.000916523101869,0.182521971432818,0.011441091754788,0.008032449656827,0.0003707284457,0.001719768067551,0.000144172173328,0.000350132420939,0.000525198631408,3.08940371416547E-05,0.000175066210469,4.11920495222757E-05,0.000205960247611,0.000411920495222,5.14900619026884E-05,0.208267002384186
69,REU03,21,REU03_21,2,26.37,0,0,0.5,0.5,0,1,0,0.001126510111417,0.004346859669056,0.073541518795351,0.00940391049531,0.119079465581883,0.008228421683396,0.001126510111417,0.013579344712628,0.009440644520682,0.000146936101489,0.000146936101489,0.000146936101489,8.57127258686992E-05,0.000428563629343,1.22446751241011E-05,0.243766992370605
70,REU03,22,REU03_22,2,26.37,0,0,1,0,0,0,0,0.000660490412346,0.008776129512117,0.003441118557142,0.000317473292122,0.000159648925636,0.000687858799598,8.21051617557663E-05,0.000119508624333,0.000146877011585,8.48420004809605E-05,9.85261941069317E-05,3.55789034274946E-05,0.00021073658184,0.000333894324473,4.10525808778831E-05,0.015266998688698
71,REU03,23,REU03_23,2,26.37,0,0.3344467491,0.3311065017,0.3344467491,0,0,0,0.000332045135098,0.082269716306036,0.001211964743107,0.001062544432313,0.000265636108078,0.000990601319708,7.19431126044575E-05,0.000110681711699,0.000254567936908,2.76704279248249E-05,8.85453693593525E-05,3.87385990947549E-05,0.000110681711699,0.000293306536003,6.64090270195798E-05,0.087266995589256
72,REU03,24,REU03_24,2,26.37,0,0.5,0,0.5,0,0,1,0.000576632067605,0.079527172657227,0.172196751188624,0.071190034013101,0.000528579395305,0.012301484108912,0.009970929502341,0.001201316807511,0.000408447714554,9.61053446010543E-05,0.000168184353052,2.40263361502197E-05,0.000480526723005,0.001297422152112,0,0.353067009727478
73,REU03,25,REU03_25,2,26.37,0,0,0.3334882725,0.3332558638,0.3332558638,1,1,0.039963478878963,0.008599735961296,0.225662590171543,0.052334222053233,0.045390050234219,0.015589895673151,0.008185844925725,0.012876609995523,0.013014573674047,0.000229939464206,4.5987892841154E-05,0.002253406749217,9.19757856821231E-05,0.053851822516991,0,0.482367008010864
74,REU03,26,REU03_26,2,26.37,0,0.5,0,0,0.5,0,1,0.005486075775985,0.041717309951964,0.005396844423002,0.004101337372288,9.25362179081605E-05,0.001113739479824,7.27070283564118E-05,5.61827037299546E-05,0.000125584867161,2.9743784327623E-05,0.00011236540746,1.32194597011658E-05,0.000188377300742,0.000142109191788,2.64389194023316E-05,0.059166996757507
75,REU03,27,REU03_27,2,26.37,0,0,0,0.5,0.5,0,1,0.067720561483693,0.002158828339981,0.077485999746425,0.058998315438938,0.000869326848315,0.008780201167976,0.017980576979303,0.004172768871909,0.007635587484362,0.000289775616105,0.000318753177715,7.24439040261892E-05,0.0002752868353,0.000463640985768,8.69326848313766E-05,0.252467005531311
76,REU03,28,REU03_28,2,26.37,0.5,0.5,0,0,0,0,1,0.007503219025492,0.169489036375425,0.046368033275304,0.02993536350873,0.000310050372954,0.002449397946338,0.000279045335659,0.000434070522136,0.000914648600215,1.55025186477111E-05,0.000248040298363,0,0.000356557928897,0.000511583115375,1.55025186477111E-05,0.261667012254715
77,REU03,29,REU03_29,2,26.37,0.3333256556,0,0,0.3333486887,0.3333256556,0,0,0.000276013966126,0.016172547133876,0.003820922149723,0.002328575451515,9.70727084257798E-05,0.001128616429288,1.52041591510284E-05,0.000146193837991,5.37993323805431E-05,2.33910140785017E-06,1.98823619667257E-05,1.28650577431798E-05,8.42076506826E-05,7.01730422355082E-05,8.18685492748254E-06,0.024666993896484
78,REU03,30,REU03_30,2,26.37,0,0.5,0.5,0,0,0,1,0.005402193934071,0.118024379829889,0.032736460924805,0.009730206448819,0.000365013103653,0.003994286248551,0.000698739369851,0.000302439428742,0.001293189281515,0.00031286837456,0.000385870995291,4.17157832746068E-05,0.00031286837456,0.000855173557131,1.04289458186701E-05,0.175467013399124
79,REU03,31,REU03_31,2,26.37,0.3310287378,0.3344856311,0,0,0.3344856311,0,0,0.000222681056743,0.054499268973509,0.002468688266993,0.001220906483521,8.44652284196594E-05,0.000675721827357,1.15179856935791E-05,4.99112713389222E-05,8.06258998551131E-05,1.91966428226716E-05,3.07146285162506E-05,1.91966428226716E-05,0.000115179856936,0.000115179856936,1.15179856935791E-05,0.059667005221367
80,REU03,32,REU03_32,2,26.37,0.1980629827,0.198293992,0.2074400568,0.1981014842,0.1981014842,1,0,0.00795847480253,0.093676510227306,0.01798878395448,0.010301620792945,0.005508448468694,0.002828218318255,0.000838599617622,0.000575509541505,0.00358460228709,0.000205539121966,0.000271311640995,0.00018087442733,0.000189095992209,0.000312419465389,3.28862595146155E-05,0.145867004076958
81,REU03,33,REU03_33,2,26.37,0,0.5,0,0,0.5,1,0,0.012034553446707,0.149162217490834,0.073615032207264,0.038836276833753,0.001600926834654,0.003836703965808,0.004913189251179,0.002235777131154,0.010820057227314,0.000165613120826,0.000220817494435,0.000220817494435,0.000303624054848,0.000469237175674,2.76021868043734E-05,0.300366996805191
