Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,6.000833333,0.010800182,0.000800182
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,8.001111111,0.011563689,0.001563689
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,10.00166667,0.010650148,0.000650148
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,12.00222222,0.010556793,0.000556793
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,14.00277778,0.010510116,0.000510116
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,16.00277778,0.01035008,0.00035008
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,18.00388889,0.010966886,0.000966886
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,20.00361111,0.011086914,0.001086914
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,22.00444444,0.011130257,0.001130257
5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,24.00444444,0.011467,0.001467
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,0,0.01,0
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,2.000277778,0.011502624,0.001502624
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,4.000277778,0.010679268,0.000679268
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,6.000833333,0.010905691,0.000905691
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,8.001111111,0.013072146,0.003072146
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,10.00166667,0.01074102,0.00074102
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,12.00222222,0.010632955,0.000632955
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,14.00277778,0.010571203,0.000571203
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,16.00277778,0.01034478,0.00034478
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,18.00388889,0.011919448,0.001919448
