Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BPabs,BTabs,ERabs,FPabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
36,REU04,BP-FP,REU04_BP-FP,2,1,0,0.004,0,1,0,0,0,1,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0
37,REU04,BT-ER,REU04_BT-ER,2,1,0,0.004,0,1,0,0,0,1,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
38,REU04,BT-FP,REU04_BT-FP,2,1,0,0.004,0,1,0,0,0,1,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
39,REU04,ER-FP,REU04_ER-FP,2,1,0,0.004,0,1,0,0,0,1,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
40,REU04,BH-BP-BT,REU04_BH-BP-BT,2,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0
41,REU04,BH-FP,REU04_BH-FP,3,1,0,0.004,0,1,0,0,0,1,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
42,REU04,BP-BT,REU04_BP-BT,3,1,0,0.004,0,1,0,0,0,1,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0
43,REU04,BP-ER,REU04_BP-ER,3,1,0,0.004,0,1,0,0,0,1,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0
44,REU04,BP-FP,REU04_BP-FP,3,1,0,0.004,0,1,0,0,0,1,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0
45,REU04,BT-ER,REU04_BT-ER,3,1,0,0.004,0,1,0,0,0,1,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
46,REU04,BT-FP,REU04_BT-FP,3,1,0,0.004,0,1,0,0,0,1,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
47,REU04,ER-FP,REU04_ER-FP,3,1,0,0.004,0,1,0,0,0,1,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
48,REU04,BH-BP-BT,REU04_BH-BP-BT,3,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0
49,REU04,BH-BP-ER,REU04_BH-BP-ER,1,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0
50,REU04,BH-BP-FP,REU04_BH-BP-FP,1,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0
51,REU04,BH-BT-ER,REU04_BH-BT-ER,1,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
